latitude,longitude
40.6725689,-73.9460372
40.5566665,-74.1252821
40.6404503,-74.0136454
40.7273602,-73.9466423
40.6739198,-73.9150111
40.6720858,-73.9143105
40.6597374,-73.9827391
40.6624647,-73.9576516
40.677447,-73.9366128
40.8479095,-73.8867441
40.8685951,-73.8454838
40.6282388,-73.9864651
40.6763204,-73.9296919
40.6723778,-73.9424937
40.6067122,-74.0005762
40.6882301,-73.9213319
40.684371,-73.9450722
40.5774068,-74.0821734
40.6833454,-73.9188607
40.8455519,-73.8840338
40.6743587,-73.9223901
40.6722582,-73.9394188
40.6596335,-73.9850567
40.6580562,-74.0020364
40.6886942,-73.9400745
40.68095,-73.9161667
40.65345,-73.9087988
40.6797001,-73.9529033
40.6791113,-73.9436452
40.5757232,-74.0872974
40.6865261,-73.9523756
40.6931893,-73.9335507
40.6944784,-73.970801
40.8703653,-73.8627121
40.6897414,-73.972844
40.6478422,-74.0122992
40.853824,-73.863603
40.6948768,-73.9627013
40.694558,-73.9615511
40.6946645,-73.9600329
40.7223551,-73.94367
40.7157089,-73.9413381
40.7062917,-73.9315864
40.7060971,-73.9276191
40.7074032,-73.9468855
40.7611755,-73.9075972
40.6583518,-73.7433914
40.6022518,-74.0047139
40.6869506,-73.9291363
40.6502875,-73.8289652
40.6995212,-73.9201177
40.6745284,-73.7308375
40.6857445,-73.970693
40.8708661,-73.8547927
40.6428185,-74.0181645
40.6218307,-74.1774819
40.7041882,-73.9255654
40.6970077,-73.9295439
40.7000454,-73.9240625
40.6910651,-73.9133089
40.7080049,-73.9624126
40.7075914,-73.965421
40.704515,-73.9139081
40.6931173,-73.9235583
40.6966085,-73.9194107
40.6903867,-73.9126283
40.69178,-73.9112706
40.686381,-73.9149376
40.6806833,-73.9420899
40.6728802,-73.8842907
40.5858391,-73.8195751
40.6725526,-73.883336
40.7043208,-73.9606078
40.7050884,-73.9579059
40.7009089,-73.9147243
40.6972,-73.9136832
40.6880161,-73.9137852
40.6878164,-73.9076232
40.6587862,-73.9092204
40.6563793,-73.9095589
40.676744,-73.8948256
40.6744668,-73.9054678
40.6718904,-73.8799593
40.6662296,-73.8870851
40.6677817,-73.8828793
40.6676171,-73.8829373
40.705087,-73.9543388
40.6906504,-73.9166089
40.6913273,-73.9047227
40.6671929,-73.8814709
40.5532789,-74.1096797
40.6911498,-73.9165001
40.6920596,-73.9039608
40.672606,-73.9023666
40.6846998,-73.8795757
40.6298217,-74.1520071
40.6822838,-73.8789527
40.6855115,-73.8712776
40.6583651,-73.9227692
40.671804,-73.8761347
40.6631886,-73.8872884
40.6592889,-73.8908164
40.6603049,-73.8883674
40.6931796,-73.9145719
40.6901808,-73.9163462
40.6916263,-73.9149237
40.6838363,-73.9108629
40.6831396,-73.9080371
40.668334,-73.9110855
40.6642312,-73.9546119
40.669208,-73.8992678
40.6655759,-73.8983974
40.6655643,-73.8946162
40.6623971,-73.8862517
40.646139,-73.9255977
40.6431759,-73.9320763
40.6428838,-73.9301596
40.6651718,-73.8779745
40.6605241,-73.8772045
40.6971378,-73.9078843
40.6362192,-73.9448272
40.7609007,-73.90715
40.6578071,-73.9102165
40.661504,-73.8967816
40.6628686,-73.8942888
40.6565649,-73.8787074
40.635412,-73.9443198
40.6443038,-73.9272753
40.6387099,-73.9613419
40.6602618,-73.9012312
40.6401125,-73.9317443
40.6624298,-73.8680313
40.6607031,-73.9457116
40.6607789,-73.943621
40.652723,-73.9437396
40.6515345,-73.943546
40.8948979,-73.8437408
40.6673128,-73.8780643
40.666282,-73.874065
40.6366467,-73.9381612
40.8153706,-73.8232122
40.7598318,-73.9202258
40.6208622,-73.9450452
40.6413477,-73.9540437
40.6426694,-73.9509043
40.6585434,-73.8979359
40.631213,-73.9787078
40.8340843,-73.8215724
40.6666851,-73.8737146
40.6520746,-73.954667
